Tweet ID,Text,Retweets,Likes,Replies,Created At
1952366822684086720,"RT @Technerd_9: Glyph Matrix : Community Projects

A Thread ( 1 / 25 ) 🧵 https://t.co/Mu6yirWCaz",73,0,0,2025-08-04 13:51:38+00:00
1952332465051484276,https://t.co/2aGWoFl5KJ,40,821,52,2025-08-04 11:35:06+00:00
1950546701053260205,fantastic four https://t.co/7jugmr7eUV,141,3459,209,2025-07-30 13:19:07+00:00
1950141292526162073,"and this is why you should never send an AI to do a social media manager's job...

we've gone through all of your replies and selected the winners at random.

@HonestBihari, @TrulyRcbian, @i_rajeshh, @DBug0o and @____bean congratulations! please DM us to sort out your prizes. https://t.co/Dkm9oT0SNz",66,1238,380,2025-07-29 10:28:10+00:00
1950125144451518820,"@grok let's try this again then. 

pick one winner at random from every 10,000 replies to our original contest post.

they must be following @nothing, and make sure that they haven’t been mentioned by @getpeid or @nothingindia in the last 48 hours.",12,77,79,2025-07-29 09:24:00+00:00
1949854579094372796,"@grok this is the official and only winners announcement 📣
 
@grok, let's go. pick one winner at random from every 10,000 replies.

they must be following @nothing, and make sure that they haven’t been mentioned by @getpeid or @nothingindia in the last 24 hours.",193,855,1521,2025-07-28 15:28:52+00:00
1949479716425245152,"@Socially_M i guess while we're here - @grok who was the most famous person to visit my profile? It doesn't need to be mutual, don't tag them, just say who it was.",1,41,7,2025-07-27 14:39:18+00:00
1949396586951237783,grok is working overtime this weekend,176,4484,365,2025-07-27 09:08:59+00:00
1949133996354383991,@grok lfg,9,277,36,2025-07-26 15:45:32+00:00
1949131024530559079,"Hey @grok, pick a winner out of every 10,000th comment, they get the Nothing product they mention. Must be following @nothing. Ends in 48 hours. Let’s go.",3273,27193,48200,2025-07-26 15:33:44+00:00
1947962563662110965,"Headphone (1), brought to life by Jordan Hemingway in London. 

Head-turner. https://t.co/Uf8rtZ9Q5n",53,756,36,2025-07-23 10:10:41+00:00
1947673170078498859,"Get started:

Get the latest version of Nothing X from Google Play or the App Store. https://t.co/ldWXEgDIe4",21,262,9,2025-07-22 15:00:44+00:00
1947673164772778182,"Here’s what the integration brings:

More stable connection with your CMF Watch. Sharper, faster GPS tracking.

A seamless visual experience, designed to match Nothing OS, down to the last pixel.

Built for what’s next. Future-ready architecture for deeper CMF Watch feature https://t.co/pDMBLlhbCf",21,326,7,2025-07-22 15:00:43+00:00
1947673160200962459,"The new Nothing X app is here.

The completely redesigned interface gives you better control, smoother performance, and more personalisation. Manage your devices, access detailed fitness insights, and keep everything connected. Now, all your audio products and CMF watches are https://t.co/mSjfGFA7GT",126,1574,34,2025-07-22 15:00:42+00:00
1947628096561033617,"Headphone (1), brought to life by Jordan Hemingway in London.

Metamorphic. https://t.co/kAUYOZRwQ8",135,1838,28,2025-07-22 12:01:38+00:00
1945753334805148027,"RT @essential: print(""Hello, World!"") 👾",204,0,0,2025-07-17 07:52:00+00:00
1945045902927790542,"Phone (3) and Headphone (1). 

Yours, from today. https://t.co/Oz2UAhE15L",205,3622,412,2025-07-15 09:00:55+00:00
1944759373407867040,RT @robgodwin_: Perfect pairing ⚪ https://t.co/WZcB5zWaDP,621,0,0,2025-07-14 14:02:21+00:00
1943982444153045443,"📍Nothing Store, Soho https://t.co/mjoUpr3CYp",33,512,40,2025-07-12 10:35:06+00:00
1943692262086443296,"Be there for the Drops to get your hands on Phone (3) and Headphone (1).

There'll also be a chance to win 3 years of free Nothing products.

Join us at Nothing Store Soho on 12 July, from 11:00 BST. https://t.co/d6FQjNa8zr",57,858,107,2025-07-11 15:22:01+00:00
1942629819864199284,iykyk https://t.co/m9EMfZDAAT,126,3618,380,2025-07-08 17:00:16+00:00
1942529998449172508,⬜️ or ⬛️ https://t.co/AJv3n0c5R3,249,6631,1138,2025-07-08 10:23:36+00:00
1941467403373752509,"Come to Play or Come to Pay?

Phone (3). https://t.co/H7QWVutd6F",208,3579,369,2025-07-05 12:01:14+00:00
1941199141033607542,https://t.co/E1kL5wxFw1 https://t.co/RdwLdY8ilG,56,1310,41,2025-07-04 18:15:15+00:00
1941136857364144196,what a week,38,1774,277,2025-07-04 14:07:46+00:00
1941103778402365790,"Phone (3) &amp; Headphone (1).

Get yours first. Pre-order now. https://t.co/JUfqzR8WYr",228,3674,323,2025-07-04 11:56:19+00:00
1941075522324500814,"Every detail, every angle, every time.

Phone (3). Come to Play. https://t.co/pPreDFWinZ",165,6004,516,2025-07-04 10:04:02+00:00
1940741357061955705,"The all-new Glyph Matrix redefines how a smartphone communicates—bringing a dynamic, independent interface that makes technology feel fresh, intuitive, and uniquely yours. This is the future of interaction.

Phone (3). Come to Play. https://t.co/lBzLVcWjcg",157,1931,253,2025-07-03 11:56:11+00:00
1940730091434397842,"RT @e_kayganaci: Wondered why everyone was looking at me this morning. 

@nothing Headphone (1) is an eye-catcher for sure. https://t.co/7v…",13,0,0,2025-07-03 11:11:25+00:00
1940729548678791642,RT @ijustine: This is really cool new feature on the new @nothing phone (3) — the glyph matrix?! https://t.co/Px7KMzfcMX,327,0,0,2025-07-03 11:09:16+00:00
1940394386602233931,"Headphone (1). 

Control your sound. Control your world. https://t.co/02F76DCbuw",163,2305,46,2025-07-02 12:57:27+00:00
1940110713491526136,"RT @getpeid: Big day for us at Nothing.

We just announced Headphone (1), our first over-ear headphones, and Phone (3), our most refined sm…",138,0,0,2025-07-01 18:10:14+00:00
1940097481381224857,"Phone (3) is here. Come to Play.

Pre-order yours. 4 July. https://t.co/k92AZBO7lf",1656,18246,2734,2025-07-01 17:17:39+00:00
1940097465232830489,"Headphone (1) is here. Come to Play.

Pre-order yours. 4 July. https://t.co/OguDw1BS6z",1015,12831,259,2025-07-01 17:17:35+00:00
1940090542194311214,10 mins https://t.co/l9hAX4FVse,124,4362,91,2025-07-01 16:50:05+00:00
1939972371357573408,Today. 18:00 BST. It's almost playtime. https://t.co/XAHQcBlmqi,129,2583,76,2025-07-01 09:00:30+00:00
1939953791303897312,@rapidreviewsuk 🙏,0,68,3,2025-07-01 07:46:41+00:00
1939948439774581176,GM https://t.co/hdN22RPgwg,192,7294,128,2025-07-01 07:25:25+00:00
1939730652368388229,24 hours https://t.co/ArHHLIvawo,199,5375,159,2025-06-30 17:00:00+00:00
